1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1226,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,26045,26044,0,0,0,0,0,0,0,0,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,26045,26044,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,26044,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,26045,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,83619,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,139365,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,111492,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,278815,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0
53,24579,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,24581,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,24581,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,24579,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,24581,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0
69,24579,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,24581,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,24579,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,318750,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,382500,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,14000,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0
100,24245,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,24245,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,24245,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
